,dwnstrm [Ambient],,
,CO2,,,
04/04/17 11:54:51.663,"590",,
04/04/17 11:54:56.663,"590",,
04/04/17 11:55:01.663,"593",,
04/04/17 11:55:06.664,"594",,
04/04/17 11:55:11.663,"578",,
04/04/17 11:55:16.663,"585",,
04/04/17 11:55:21.663,"582",,
04/04/17 11:55:26.663,"569",,
04/04/17 11:55:31.664,"576",,
04/04/17 11:55:36.663,"556",,
04/04/17 11:55:41.663,"558",,
04/04/17 11:55:46.664,"571",,
04/04/17 11:55:51.663,"565",,
04/04/17 11:55:56.663,"567",,
04/04/17 11:56:01.663,"560",,
04/04/17 11:56:06.664,"571",,
04/04/17 11:56:11.664,"551",,
04/04/17 11:56:16.663,"540",,
04/04/17 11:56:21.664,"547",,
04/04/17 11:56:26.663,"542",,
04/04/17 11:56:31.663,"534",,
04/04/17 11:56:36.663,"534",,
04/04/17 11:56:41.664,"538",,
04/04/17 11:56:46.663,"531",,
04/04/17 11:56:51.663,"536",,
04/04/17 11:56:56.663,"534",,
04/04/17 11:57:01.663,"529",,
04/04/17 11:57:06.663,"522",,
04/04/17 11:57:11.664,"522",,
04/04/17 11:57:16.664,"516",,
04/04/17 11:57:21.663,"516",,
04/04/17 11:57:26.664,"505",,
04/04/17 11:57:31.664,"499",,
04/04/17 11:57:36.664,"503",,
04/04/17 11:57:41.663,"497",,
04/04/17 11:57:46.663,"501",,
04/04/17 11:57:51.663,"501",,
04/04/17 11:57:56.664,"486",,
04/04/17 11:58:01.663,"473",,
04/04/17 11:58:06.664,"450",,
04/04/17 11:58:11.664,"422",,
04/04/17 11:58:16.663,"416",,
04/04/17 11:58:21.663,"416",,
04/04/17 11:58:26.663,"388",,
04/04/17 11:58:31.663,"369",,
04/04/17 11:58:36.663,"336",,
04/04/17 11:58:41.663,"333",,
04/04/17 11:58:46.665,"327",,
04/04/17 11:58:51.679,"323",,
04/04/17 11:58:56.673,"309",,
04/04/17 11:58:56.673,"309",,
04/04/17 11:59:01.668,"300",,
04/04/17 11:59:06.673,"291",,
04/04/17 11:59:11.273,"276",,
04/04/17 12:08:44.850,"648",,
04/04/17 12:08:49.849,"653",,
04/04/17 12:08:54.849,"667",,
04/04/17 12:08:59.849,"653",,
04/04/17 12:09:04.850,"657",,
04/04/17 12:09:09.849,"641",,
04/04/17 12:09:14.849,"664",,
04/04/17 12:09:19.849,"639",,
04/04/17 12:09:24.849,"621",,
04/04/17 12:09:29.849,"651",,
04/04/17 12:09:34.849,"644",,
04/04/17 12:09:39.849,"632",,
04/04/17 12:09:44.849,"635",,
04/04/17 12:09:49.849,"628",,
04/04/17 12:09:54.849,"669",,
04/04/17 12:09:59.849,"672",,
04/04/17 12:10:04.849,"677",,
04/04/17 12:10:09.849,"702",,
04/04/17 12:10:14.849,"702",,
04/04/17 12:10:19.849,"687",,
04/04/17 12:10:24.849,"664",,
04/04/17 12:10:29.849,"662",,
04/04/17 12:10:34.849,"646",,
04/04/17 12:10:39.849,"641",,
04/04/17 12:10:44.849,"610",,
04/04/17 12:10:49.849,"600",,
04/04/17 12:10:54.849,"594",,
04/04/17 12:10:59.849,"582",,
04/04/17 12:11:04.850,"565",,
04/04/17 12:11:09.849,"545",,
04/04/17 12:11:14.849,"525",,
04/04/17 12:11:19.849,"514",,
04/04/17 12:11:24.849,"505",,
04/04/17 12:11:29.849,"499",,
04/04/17 12:11:34.850,"493",,
04/04/17 12:11:39.849,"473",,
04/04/17 12:11:44.849,"467",,
04/04/17 12:11:49.849,"459",,
04/04/17 12:11:54.849,"438",,
04/04/17 12:11:59.849,"426",,
04/04/17 12:12:04.849,"416",,
04/04/17 12:12:09.849,"412",,
04/04/17 12:12:14.849,"402",,
04/04/17 12:12:19.849,"380",,
04/04/17 12:12:24.849,"337",,
04/04/17 12:12:29.849,"332",,
04/04/17 12:12:34.849,"298",,
04/04/17 12:12:37.483,"302",,
04/04/17 13:02:50.781,"956",,
04/04/17 13:02:55.781,"950",,
04/04/17 13:03:00.781,"950",,
04/04/17 13:03:05.781,"964",,
04/04/17 13:03:10.781,"961",,
04/04/17 13:03:15.782,"927",,
04/04/17 13:03:20.781,"927",,
04/04/17 13:03:25.781,"933",,
04/04/17 13:03:30.781,"933",,
04/04/17 13:03:35.781,"941",,
04/04/17 13:03:40.781,"930",,
04/04/17 13:03:45.781,"927",,
04/04/17 13:03:50.781,"930",,
04/04/17 13:03:55.781,"924",,
04/04/17 13:04:00.782,"924",,
04/04/17 13:04:05.782,"902",,
04/04/17 13:04:10.781,"905",,
04/04/17 13:04:15.781,"899",,
04/04/17 13:04:20.781,"899",,
04/04/17 13:04:25.781,"916",,
04/04/17 13:04:30.782,"919",,
04/04/17 13:04:35.781,"927",,
04/04/17 13:04:40.782,"902",,
04/04/17 13:04:45.781,"891",,
04/04/17 13:04:50.781,"894",,
04/04/17 13:04:55.781,"902",,
04/04/17 13:05:00.781,"902",,
04/04/17 13:05:05.781,"913",,
04/04/17 13:05:10.781,"919",,
04/04/17 13:05:15.782,"938",,
04/04/17 13:05:20.781,"950",,
04/04/17 13:05:25.782,"941",,
04/04/17 13:05:30.781,"927",,
04/04/17 13:05:35.782,"938",,
04/04/17 13:05:40.781,"950",,
04/04/17 13:05:45.781,"941",,
04/04/17 13:05:50.781,"938",,
04/04/17 13:05:55.781,"917",,
04/04/17 13:06:00.782,"914",,
04/04/17 13:06:05.781,"922",,
04/04/17 13:06:10.781,"942",,
04/04/17 13:06:15.781,"925",,
04/04/17 13:06:20.781,"838",,
04/04/17 13:06:25.781,"705",,
04/04/17 13:06:30.782,"579",,
04/04/17 13:06:35.781,"451",,
04/04/17 13:06:40.781,"347",,
04/04/17 13:06:45.781,"284",,
04/04/17 13:06:50.782,"224",,
04/04/17 13:06:55.781,"196",,
04/04/17 13:06:55.781,"196",,
04/04/17 13:07:00.781,"162",,
04/04/17 13:07:05.782,"150",,
04/04/17 13:07:10.781,"138",,
04/04/17 13:07:15.781,"112",,
04/04/17 13:07:20.781,"105",,
04/04/17 13:07:25.781,"97",,
04/04/17 13:07:30.781,"94",,
04/04/17 13:07:35.781,"92",,
04/04/17 13:07:40.781,"96",,
04/04/17 13:07:45.781,"83",,
04/04/17 13:07:50.781,"83",,
04/04/17 13:07:55.781,"78",,
04/04/17 13:08:00.781,"89",,
04/04/17 13:08:05.781,"97",,
04/04/17 13:08:10.782,"84",,
04/04/17 13:08:15.781,"89",,
04/04/17 13:08:20.781,"89",,
04/04/17 13:08:25.782,"87",,
04/04/17 13:08:30.781,"92",,
04/04/17 13:08:35.781,"89",,
04/04/17 13:08:40.781,"92",,
04/04/17 13:08:45.782,"83",,
04/04/17 13:08:50.781,"81",,
04/04/17 13:08:55.781,"84",,
04/04/17 13:09:00.781,"87",,
04/04/17 13:09:05.782,"73",,
04/04/17 13:09:10.781,"73",,
04/04/17 13:09:15.781,"94",,
04/04/17 13:09:20.781,"115",,
04/04/17 13:09:25.781,"109",,
04/04/17 13:09:30.782,"122",,
04/04/17 13:09:35.782,"125",,
04/04/17 13:09:40.781,"122",,
04/04/17 13:09:45.781,"143",,
04/04/17 13:09:50.781,"140",,
04/04/17 13:09:55.781,"152",,
04/04/17 13:10:00.781,"147",,
04/04/17 13:10:05.782,"148",,
04/04/17 13:10:10.782,"164",,
04/04/17 13:10:15.782,"174",,
04/04/17 13:10:20.782,"167",,
04/04/17 13:10:25.781,"158",,
04/04/17 13:10:30.781,"172",,
04/04/17 13:10:35.781,"186",,
04/04/17 13:10:40.781,"191",,
04/04/17 13:10:45.781,"203",,
04/04/17 13:10:50.782,"200",,
04/04/17 13:10:55.781,"214",,
04/04/17 13:11:00.782,"207",,
04/04/17 13:11:05.781,"210",,
04/04/17 13:11:10.782,"215",,
04/04/17 13:11:10.782,"215",,
04/04/17 13:11:15.781,"228",,
04/04/17 13:11:20.781,"228",,
04/04/17 13:11:25.782,"235",,
04/04/17 13:11:30.781,"246",,
04/04/17 13:11:35.781,"263",,
04/04/17 13:11:40.781,"256",,
04/04/17 13:11:45.781,"244",,
04/04/17 13:11:50.781,"276",,
04/04/17 13:11:55.781,"263",,
04/04/17 13:12:00.781,"282",,
04/04/17 13:12:05.781,"289",,
04/04/17 13:12:10.781,"284",,
04/04/17 13:12:15.781,"289",,
04/04/17 13:12:20.782,"291",,
04/04/17 13:12:25.782,"287",,
04/04/17 13:12:30.781,"282",,
04/04/17 13:12:35.781,"293",,
04/04/17 13:12:40.781,"298",,
04/04/17 13:12:45.781,"317",,
04/04/17 13:12:50.781,"322",,
04/04/17 13:12:55.781,"319",,
04/04/17 13:13:00.782,"339",,
04/04/17 13:13:05.781,"347",,
04/04/17 13:13:10.782,"351",,
04/04/17 13:13:15.781,"341",,
04/04/17 13:13:20.781,"324",,
04/04/17 13:13:25.781,"328",,
04/04/17 13:13:30.781,"337",,
04/04/17 13:13:35.781,"345",,
04/04/17 13:13:40.781,"353",,
04/04/17 13:13:45.782,"357",,
04/04/17 13:13:50.781,"347",,
04/04/17 13:13:55.781,"339",,
04/04/17 13:14:00.781,"383",,
04/04/17 13:14:05.782,"377",,
04/04/17 13:14:10.782,"377",,
04/04/17 13:14:15.781,"379",,
04/04/17 13:14:20.781,"376",,
04/04/17 13:14:25.782,"385",,
04/04/17 13:14:30.781,"381",,
04/04/17 13:14:35.781,"387",,
04/04/17 13:14:40.782,"393",,
04/04/17 13:14:45.781,"383",,
04/04/17 13:14:50.781,"383",,
04/04/17 13:14:55.781,"417",,
04/04/17 13:15:00.781,"417",,
04/04/17 13:15:05.782,"413",,
04/04/17 13:15:10.781,"409",,
04/04/17 13:15:15.781,"409",,
04/04/17 13:15:20.781,"415",,
04/04/17 13:15:25.781,"413",,
04/04/17 13:15:25.781,"413",,
04/04/17 13:15:30.781,"425",,
04/04/17 13:15:35.782,"421",,
04/04/17 13:15:40.781,"433",,
04/04/17 13:15:45.781,"437",,
04/04/17 13:15:50.781,"437",,
04/04/17 13:15:55.781,"439",,
04/04/17 13:16:00.781,"435",,
04/04/17 13:16:05.781,"427",,
04/04/17 13:16:10.781,"449",,
04/04/17 13:16:15.781,"460",,
04/04/17 13:16:20.781,"455",,
04/04/17 13:16:25.781,"445",,
04/04/17 13:16:30.781,"443",,
04/04/17 13:16:35.781,"451",,
04/04/17 13:16:40.782,"447",,
04/04/17 13:16:45.782,"455",,
04/04/17 13:16:50.781,"447",,
04/04/17 13:16:55.781,"447",,
04/04/17 13:17:00.782,"443",,
04/04/17 13:17:05.781,"445",,
04/04/17 13:17:10.781,"455",,
04/04/17 13:17:15.781,"451",,
04/04/17 13:17:20.781,"468",,
04/04/17 13:17:25.782,"483",,
04/04/17 13:17:30.781,"487",,
04/04/17 13:17:35.782,"472",,
04/04/17 13:17:40.782,"468",,
04/04/17 13:17:45.781,"466",,
04/04/17 13:17:50.781,"470",,
04/04/17 13:17:55.781,"468",,
04/04/17 13:18:00.781,"472",,
04/04/17 13:18:05.781,"485",,
04/04/17 13:18:10.781,"477",,
04/04/17 13:18:15.781,"472",,
04/04/17 13:18:20.783,"468",,
04/04/17 13:18:25.781,"474",,
04/04/17 13:18:30.781,"485",,
04/04/17 13:18:35.782,"472",,
04/04/17 13:18:40.782,"498",,
04/04/17 13:18:45.781,"494",,
04/04/17 13:18:50.782,"485",,
04/04/17 13:18:55.781,"489",,
04/04/17 13:19:00.782,"474",,
04/04/17 13:19:05.782,"472",,
04/04/17 13:19:10.782,"502",,
04/04/17 13:19:15.781,"508",,
04/04/17 13:19:20.781,"506",,
04/04/17 13:19:25.781,"517",,
04/04/17 13:19:30.781,"498",,
04/04/17 13:19:35.781,"500",,
04/04/17 13:19:40.781,"513",,
04/04/17 13:19:40.781,"513",,
04/04/17 13:19:45.782,"513",,
04/04/17 13:19:50.782,"515",,
04/04/17 13:19:55.782,"496",,
04/04/17 13:20:00.781,"498",,
04/04/17 13:20:05.781,"502",,
04/04/17 13:20:10.781,"502",,
04/04/17 13:20:15.781,"498",,
04/04/17 13:20:20.781,"500",,
04/04/17 13:20:25.781,"515",,
04/04/17 13:20:30.781,"519",,
04/04/17 13:20:35.781,"508",,
04/04/17 13:20:40.781,"517",,
04/04/17 13:20:45.781,"500",,
04/04/17 13:20:50.781,"519",,
04/04/17 13:20:55.781,"504",,
04/04/17 13:21:00.781,"517",,
04/04/17 13:21:05.781,"511",,
04/04/17 13:21:10.781,"526",,
04/04/17 13:21:15.781,"515",,
04/04/17 13:21:20.781,"515",,
04/04/17 13:21:25.781,"519",,
04/04/17 13:21:30.781,"532",,
04/04/17 13:21:35.782,"532",,
04/04/17 13:21:40.781,"519",,
04/04/17 13:21:45.782,"523",,
04/04/17 13:21:50.781,"543",,
04/04/17 13:21:55.781,"521",,
04/04/17 13:22:00.781,"504",,
04/04/17 13:22:05.782,"506",,
04/04/17 13:22:10.781,"537",,
04/04/17 13:22:15.781,"515",,
04/04/17 13:22:20.781,"515",,
04/04/17 13:22:25.781,"517",,
04/04/17 13:22:30.781,"506",,
04/04/17 13:22:35.781,"523",,
04/04/17 13:22:40.781,"515",,
04/04/17 13:22:45.782,"526",,
04/04/17 13:22:50.781,"504",,
04/04/17 13:22:55.781,"519",,
04/04/17 13:23:00.781,"523",,
04/04/17 13:23:05.781,"532",,
04/04/17 13:23:10.782,"531",,
04/04/17 13:23:15.781,"531",,
04/04/17 13:23:20.782,"536",,
04/04/17 13:23:25.782,"529",,
04/04/17 13:23:30.781,"516",,
04/04/17 13:23:35.781,"527",,
04/04/17 13:23:40.781,"516",,
04/04/17 13:23:45.781,"527",,
04/04/17 13:23:50.782,"525",,
04/04/17 13:23:55.781,"525",,
04/04/17 13:23:55.781,"525",,
04/04/17 13:24:00.781,"514",,
04/04/17 13:24:05.782,"522",,
04/04/17 13:24:10.781,"529",,
04/04/17 13:24:15.782,"534",,
04/04/17 13:24:20.781,"536",,
04/04/17 13:24:25.781,"534",,
04/04/17 13:24:30.782,"527",,
04/04/17 13:24:35.781,"538",,
04/04/17 13:24:40.781,"536",,
04/04/17 13:24:45.782,"545",,
04/04/17 13:24:50.781,"545",,
04/04/17 13:24:55.781,"542",,
04/04/17 13:25:00.781,"527",,
04/04/17 13:25:05.781,"520",,
04/04/17 13:25:10.781,"529",,
04/04/17 13:25:15.782,"549",,
04/04/17 13:25:20.781,"542",,
04/04/17 13:25:25.781,"540",,
04/04/17 13:25:30.781,"545",,
04/04/17 13:25:35.781,"542",,
04/04/17 13:25:40.781,"545",,
04/04/17 13:25:45.781,"556",,
04/04/17 13:25:50.782,"562",,
04/04/17 13:25:55.781,"562",,
04/04/17 13:26:00.781,"549",,
04/04/17 13:26:05.782,"542",,
04/04/17 13:26:10.781,"534",,
04/04/17 13:26:15.781,"516",,
04/04/17 13:26:20.782,"529",,
04/04/17 13:26:25.782,"522",,
04/04/17 13:26:30.781,"538",,
04/04/17 13:26:35.781,"527",,
04/04/17 13:26:40.781,"556",,
04/04/17 13:26:45.781,"567",,
04/04/17 13:26:50.781,"545",,
04/04/17 13:26:55.781,"555",,
04/04/17 13:27:00.782,"562",,
04/04/17 13:27:05.782,"553",,
04/04/17 13:27:10.781,"566",,
04/04/17 13:27:15.781,"536",,
04/04/17 13:27:20.781,"546",,
04/04/17 13:27:25.782,"544",,
04/04/17 13:27:30.781,"540",,
04/04/17 13:27:35.781,"553",,
04/04/17 13:27:40.781,"557",,
04/04/17 13:27:45.781,"555",,
04/04/17 13:27:50.782,"535",,
04/04/17 13:27:55.781,"535",,
04/04/17 13:28:00.781,"553",,
04/04/17 13:28:05.781,"553",,
04/04/17 13:28:10.781,"570",,
04/04/17 13:28:10.781,"570",,
04/04/17 13:28:15.781,"553",,
04/04/17 13:28:20.781,"541",,
04/04/17 13:28:25.781,"541",,
04/04/17 13:28:30.781,"524",,
04/04/17 13:28:35.781,"541",,
04/04/17 13:28:40.781,"546",,
04/04/17 13:28:45.782,"546",,
04/04/17 13:28:50.781,"557",,
04/04/17 13:28:55.781,"564",,
04/04/17 13:29:00.781,"557",,
04/04/17 13:29:05.781,"548",,
04/04/17 13:29:10.782,"541",,
04/04/17 13:29:15.781,"541",,
04/04/17 13:29:20.782,"533",,
04/04/17 13:29:25.781,"544",,
04/04/17 13:29:30.781,"548",,
04/04/17 13:29:35.781,"548",,
04/04/17 13:29:40.782,"541",,
04/04/17 13:29:45.782,"555",,
04/04/17 13:29:50.782,"564",,
04/04/17 13:29:55.781,"553",,
04/04/17 13:30:00.781,"557",,
04/04/17 13:30:05.782,"568",,
04/04/17 13:30:10.781,"561",,
04/04/17 13:30:15.781,"568",,
04/04/17 13:30:20.781,"553",,
04/04/17 13:30:25.781,"555",,
04/04/17 13:30:30.781,"559",,
04/04/17 13:30:35.782,"561",,
04/04/17 13:30:40.781,"568",,
04/04/17 13:30:45.781,"572",,
04/04/17 13:30:50.782,"559",,
04/04/17 13:30:55.781,"561",,
04/04/17 13:31:00.781,"575",,
04/04/17 13:31:05.781,"557",,
04/04/17 13:31:10.781,"568",,
04/04/17 13:31:15.781,"570",,
04/04/17 13:31:20.781,"553",,
04/04/17 13:31:25.782,"550",,
04/04/17 13:31:30.782,"539",,
04/04/17 13:31:35.782,"546",,
04/04/17 13:31:40.781,"564",,
04/04/17 13:31:45.781,"572",,
04/04/17 13:31:50.781,"559",,
04/04/17 13:31:55.782,"568",,
04/04/17 13:32:00.781,"577",,
04/04/17 13:32:05.782,"577",,
04/04/17 13:32:10.781,"572",,
04/04/17 13:32:15.781,"564",,
04/04/17 13:32:20.781,"566",,
04/04/17 13:32:25.781,"557",,
04/04/17 13:34:25.782,"568",,
04/04/17 13:34:30.781,"570",,
04/04/17 13:34:35.781,"564",,
04/04/17 13:34:40.781,"564",,
04/04/17 13:34:45.781,"572",,
04/04/17 13:34:50.781,"575",,
04/04/17 13:34:55.782,"546",,
04/04/17 13:35:00.782,"498",,
04/04/17 13:35:05.781,"447",,
04/04/17 13:35:10.781,"419",,
04/04/17 13:35:15.781,"397",,
04/04/17 13:35:20.781,"361",,
04/04/17 13:35:25.781,"333",,
04/04/17 13:35:30.781,"294",,
04/04/17 13:35:35.782,"283",,
04/04/17 13:35:40.782,"255",,
04/04/17 13:35:45.782,"243",,
04/04/17 13:35:50.781,"216",,
04/04/17 13:35:55.782,"214",,
04/04/17 13:36:00.781,"188",,
04/04/17 13:36:05.781,"183",,
04/04/17 13:36:10.781,"173",,
04/04/17 13:36:15.781,"164",,
04/04/17 13:36:20.781,"159",,
04/04/17 13:36:25.781,"159",,
04/04/17 13:36:30.781,"143",,
04/04/17 13:36:35.782,"133",,
04/04/17 13:36:40.781,"128",,
04/04/17 13:36:40.781,"128",,
04/04/17 13:36:45.781,"128",,
04/04/17 13:36:50.781,"149",,
04/04/17 13:36:55.781,"156",,
04/04/17 13:37:00.782,"156",,
04/04/17 13:37:05.781,"216",,
04/04/17 13:37:10.781,"223",,
04/04/17 13:37:15.781,"246",,
04/04/17 13:37:20.781,"283",,
04/04/17 13:37:25.782,"316",,
04/04/17 13:37:30.781,"342",,
04/04/17 13:37:35.781,"371",,
04/04/17 13:37:40.781,"392",,
04/04/17 13:37:45.782,"422",,
04/04/17 13:37:50.781,"446",,
04/04/17 13:37:55.781,"464",,
04/04/17 13:38:00.781,"473",,
04/04/17 13:38:05.781,"496",,
04/04/17 13:38:10.781,"509",,
04/04/17 13:38:15.782,"541",,
04/04/17 13:38:20.781,"548",,
04/04/17 13:38:25.782,"577",,
04/04/17 13:38:30.781,"597",,
04/04/17 13:38:35.781,"602",,
04/04/17 13:38:40.782,"631",,
04/04/17 13:38:45.781,"647",,
04/04/17 13:38:50.781,"663",,
04/04/17 13:38:55.781,"668",,
04/04/17 13:39:00.781,"693",,
04/04/17 13:39:05.781,"713",,
04/04/17 13:39:10.781,"703",,
04/04/17 13:39:15.781,"705",,
04/04/17 13:39:20.781,"733",,
04/04/17 13:39:25.782,"745",,
04/04/17 13:39:30.781,"761",,
04/04/17 13:39:35.782,"771",,
04/04/17 13:39:40.781,"771",,
04/04/17 13:39:45.781,"789",,
04/04/17 13:39:50.781,"776",,
04/04/17 13:39:55.781,"799",,
04/04/17 13:40:00.781,"804",,
04/04/17 13:40:05.781,"825",,
04/04/17 13:40:10.781,"852",,
04/04/17 13:40:15.781,"874",,
04/04/17 13:40:20.781,"841",,
04/04/17 13:40:25.782,"827",,
04/04/17 13:40:30.781,"841",,
04/04/17 13:40:35.781,"838",,
04/04/17 13:40:40.782,"857",,
04/04/17 13:40:45.781,"857",,
04/04/17 13:40:50.782,"868",,
04/04/17 13:40:55.781,"871",,
04/04/17 13:40:55.781,"871",,
04/04/17 13:41:00.781,"874",,
04/04/17 13:41:05.781,"876",,
04/04/17 13:41:10.781,"895",,
04/04/17 13:41:15.781,"876",,
04/04/17 13:41:20.782,"868",,
04/04/17 13:41:25.781,"887",,
04/04/17 13:41:30.781,"904",,
04/04/17 13:41:35.782,"906",,
04/04/17 13:41:40.782,"923",,
04/04/17 13:41:45.781,"935",,
04/04/17 13:41:50.781,"935",,
04/04/17 13:41:55.781,"926",,
04/04/17 13:42:00.781,"937",,
04/04/17 13:42:05.781,"935",,
04/04/17 13:42:10.782,"932",,
04/04/17 13:42:15.781,"937",,
04/04/17 13:42:20.782,"937",,
04/04/17 13:42:25.781,"949",,
04/04/17 13:42:30.781,"966",,
04/04/17 13:42:35.781,"949",,
04/04/17 13:42:40.782,"977",,
04/04/17 13:42:45.781,"960",,
04/04/17 13:42:50.781,"974",,
04/04/17 13:42:55.781,"983",,
04/04/17 13:43:00.781,"972",,
04/04/17 13:43:05.781,"955",,
04/04/17 13:43:10.781,"961",,
04/04/17 13:43:15.781,"955",,
04/04/17 13:43:20.781,"969",,
04/04/17 13:43:25.781,"983",,
04/04/17 13:43:30.782,"969",,
04/04/17 13:43:35.781,"1012",,
04/04/17 13:43:40.782,"1013",,
04/04/17 13:43:45.781,"984",,
04/04/17 13:43:50.782,"981",,
04/04/17 13:43:55.781,"992",,
04/04/17 13:44:00.782,"1025",,
04/04/17 13:44:05.782,"1036",,
04/04/17 13:44:10.781,"1030",,
04/04/17 13:44:15.781,"1036",,
04/04/17 13:44:20.781,"1019",,
04/04/17 13:44:25.781,"1025",,
04/04/17 13:44:30.781,"995",,
04/04/17 13:44:35.782,"998",,
04/04/17 13:44:40.781,"1010",,
04/04/17 13:44:45.781,"1022",,
04/04/17 13:44:50.781,"998",,
04/04/17 13:44:55.781,"1057",,
04/04/17 13:45:00.781,"1051",,
04/04/17 13:45:05.781,"1054",,
04/04/17 13:45:10.781,"1048",,
04/04/17 13:45:10.781,"1048",,
04/04/17 13:45:15.781,"1048",,
04/04/17 13:45:20.781,"1025",,
04/04/17 13:45:25.781,"1051",,
04/04/17 13:45:30.781,"1054",,
04/04/17 13:45:35.782,"1063",,
04/04/17 13:45:40.782,"1048",,
04/04/17 13:45:45.781,"1074",,
04/04/17 13:45:50.781,"1066",,
04/04/17 13:45:55.781,"1048",,
04/04/17 13:46:00.781,"1092",,
04/04/17 13:46:05.782,"1092",,
04/04/17 13:46:10.782,"1095",,
04/04/17 13:46:15.781,"1098",,
04/04/17 13:46:20.782,"1129",,
04/04/17 13:46:25.781,"1114",,
04/04/17 13:46:30.781,"1110",,
04/04/17 13:46:35.782,"1123",,
