,upstrm [Ambient]
04/04/17 13:46:40.40,4348
04/04/17 13:46:45.45,4376
04/04/17 13:46:50.50,4410
04/04/17 13:46:55.55,4451
04/04/17 13:47:00.00,4403
04/04/17 13:47:05.05,4362
04/04/17 13:47:10.10,4389
04/04/17 13:47:15.15,4403
04/04/17 13:47:20.20,4417
04/04/17 13:47:25.25,4410
04/04/17 13:47:30.30,4396
04/04/17 13:47:35.35,4410
04/04/17 13:47:40.40,4423
04/04/17 13:47:45.45,4417
04/04/17 13:47:50.50,4417
04/04/17 13:47:55.55,4376
04/04/17 13:48:00.00,4389
04/04/17 13:48:05.05,4307
04/04/17 13:48:10.10,4300
04/04/17 13:48:15.15,4280
04/04/17 13:48:20.20,4287
04/04/17 13:48:25.25,4287
04/04/17 13:48:30.30,4287
04/04/17 13:48:35.35,4226
04/04/17 13:48:40.40,4193
04/04/17 13:48:45.45,4154
04/04/17 13:48:50.50,4141
04/04/17 13:48:55.55,4108
04/04/17 13:49:00.00,4075
04/04/17 13:49:05.05,4141
04/04/17 13:49:10.10,4134
04/04/17 13:49:15.15,4161
04/04/17 13:49:20.20,4141
04/04/17 13:49:25.25,4114
04/04/17 13:49:30.30,4121
04/04/17 13:49:30.30,4121
04/04/17 13:49:35.35,4081
04/04/17 13:49:40.40,4055
04/04/17 13:49:45.45,4036
04/04/17 13:49:50.50,4029
04/04/17 13:49:55.55,4054
04/04/17 13:50:00.00,4067
04/04/17 13:50:05.05,4087
04/04/17 13:50:10.10,4074
04/04/17 13:50:15.15,4087
04/04/17 13:50:20.20,4107
04/04/17 13:50:25.25,4074
04/04/17 13:50:30.30,4004
04/04/17 13:50:35.35,4016
04/04/17 13:50:40.40,3997
04/04/17 13:50:45.45,3953
04/04/17 13:50:50.50,3972
04/04/17 13:50:55.55,3959
04/04/17 13:51:00.00,3947
04/04/17 13:51:05.05,3915
04/04/17 13:51:10.10,3877
04/04/17 13:51:15.15,3865
04/04/17 13:51:20.20,3852
04/04/17 13:51:25.25,3834
04/04/17 13:51:30.30,3834
04/04/17 13:51:35.35,3785
04/04/17 13:51:40.40,3742
04/04/17 13:51:45.45,3724
04/04/17 13:51:50.50,3724
04/04/17 13:51:55.55,3694
04/04/17 13:52:00.00,3604
04/04/17 13:52:05.05,3622
04/04/17 13:52:10.10,3598
04/04/17 13:52:15.15,3604
04/04/17 13:52:20.20,3604
04/04/17 13:52:25.25,3639
04/04/17 13:52:30.30,3622
04/04/17 13:52:35.35,3557
04/04/17 13:52:40.40,3516
04/04/17 13:52:45.45,3504
04/04/17 13:52:50.50,3452
04/04/17 13:52:55.55,3418
04/04/17 13:53:00.00,3367
04/04/17 13:53:05.05,3361
04/04/17 13:53:10.10,3305
04/04/17 13:53:15.15,3266
04/04/17 13:53:20.20,3234
04/04/17 13:53:25.25,3234
04/04/17 13:53:30.30,3168
04/04/17 13:53:35.35,3130
04/04/17 13:53:40.40,3130
04/04/17 13:53:45.45,3093
04/04/17 13:53:45.45,3093
04/04/17 13:53:50.50,3041
04/04/17 13:53:55.55,3005
04/04/17 13:54:00.00,2933
04/04/17 13:54:05.05,2923
04/04/17 13:54:10.10,2883
04/04/17 13:54:15.15,2898
04/04/17 13:54:20.20,2858
04/04/17 13:54:25.25,2803
04/04/17 13:54:30.30,2769
04/04/17 13:54:35.35,2778
04/04/17 13:54:40.40,2750
04/04/17 13:54:45.45,2716
04/04/17 13:54:50.50,2697
04/04/17 13:54:55.55,2706
04/04/17 13:55:00.00,2616
04/04/17 13:55:05.05,2634
04/04/17 13:55:10.10,2629
04/04/17 13:55:15.15,2629
04/04/17 13:55:20.20,2570
04/04/17 13:55:25.25,2556
04/04/17 13:55:30.30,2510
04/04/17 13:55:35.35,2496
04/04/17 13:55:40.40,2447
04/04/17 13:55:45.45,2461
04/04/17 13:55:50.50,2443
04/04/17 13:55:55.55,2417
04/04/17 13:56:00.00,2403
04/04/17 13:56:05.05,2394
04/04/17 13:56:10.10,2359
04/04/17 13:56:15.15,2312
04/04/17 13:56:20.20,2295
04/04/17 13:56:25.25,2304
04/04/17 13:56:30.30,2316
04/04/17 13:56:35.35,2257
04/04/17 13:56:40.40,2261
04/04/17 13:56:45.45,2248
04/04/17 13:56:50.50,2223
04/04/17 13:56:55.55,2214
04/04/17 13:57:00.00,2157
04/04/17 13:57:05.05,2153
04/04/17 13:57:10.10,2128
04/04/17 13:57:15.15,2120
04/04/17 13:57:20.20,2108
04/04/17 13:57:25.25,2091
04/04/17 13:57:30.30,2091
04/04/17 13:57:35.35,2079
04/04/17 13:57:40.40,2036
04/04/17 13:57:45.45,1993
04/04/17 13:57:50.50,1958
04/04/17 13:57:55.55,1958
04/04/17 13:58:00.00,1974
04/04/17 13:58:00.00,1974
04/04/17 13:58:05.05,1966
04/04/17 13:58:10.10,1947
04/04/17 13:58:15.15,1928
04/04/17 13:58:20.20,1943
04/04/17 13:58:25.25,1898
04/04/17 13:58:30.30,1890
04/04/17 13:58:35.35,1883
04/04/17 13:58:40.40,1875
04/04/17 13:58:45.45,1842
04/04/17 13:58:50.50,1845
04/04/17 13:58:55.55,1830
04/04/17 13:59:00.00,1805
04/04/17 13:59:05.05,1809
04/04/17 13:59:10.10,1787
04/04/17 13:59:15.15,1780
04/04/17 13:59:20.20,1741
04/04/17 13:59:25.25,1741
04/04/17 13:59:30.30,1748
04/04/17 13:59:35.35,1737
04/04/17 13:59:40.40,1726
04/04/17 13:59:45.45,1723
04/04/17 13:59:50.50,1702
04/04/17 13:59:55.55,1691
04/04/17 14:00:00.00,1667
04/04/17 14:00:05.05,1817
04/04/17 14:00:10.10,2057
04/04/17 14:00:15.15,2325
04/04/17 14:00:20.20,2611
04/04/17 14:00:25.25,2848
04/04/17 14:00:30.30,3109
04/04/17 14:00:35.35,3266
04/04/17 14:00:40.40,3395
04/04/17 14:00:45.45,3440
04/04/17 14:00:50.50,3480
04/04/17 14:00:55.55,3480
04/04/17 14:01:00.00,3515
04/04/17 14:01:05.05,3527
04/04/17 14:01:10.10,3474
04/04/17 14:01:15.15,3521
04/04/17 14:01:20.20,3562
04/04/17 14:01:25.25,3497
04/04/17 14:01:30.30,3562
04/04/17 14:01:35.35,3580
04/04/17 14:01:40.40,3533
04/04/17 14:01:45.45,3550
04/04/17 14:01:50.50,3597
04/04/17 14:01:55.55,3568
04/04/17 14:02:00.00,3586
04/04/17 14:02:05.05,3568
04/04/17 14:02:10.10,3568
04/04/17 14:02:15.15,3550
04/04/17 14:03:40.40,3528
04/04/17 14:03:45.45,3545
04/04/17 14:03:50.50,3516
04/04/17 14:03:55.55,3481
04/04/17 14:04:00.00,3469
04/04/17 14:04:05.05,3504
04/04/17 14:04:10.10,3481
04/04/17 14:04:15.15,3446
04/04/17 14:04:20.20,3498
04/04/17 14:04:25.25,3510
04/04/17 14:04:30.30,3487
04/04/17 14:04:35.35,3493
04/04/17 14:04:40.40,3463
04/04/17 14:04:45.45,3493
04/04/17 14:04:50.50,3463
04/04/17 14:04:55.55,3487
04/04/17 14:05:00.00,3516
04/04/17 14:05:05.05,3522
04/04/17 14:05:10.10,3493
04/04/17 14:05:15.15,3452
04/04/17 14:05:20.20,3487
04/04/17 14:05:25.25,3475
04/04/17 14:05:30.30,3487
04/04/17 14:05:35.35,3563
04/04/17 14:05:40.40,3522
04/04/17 14:05:45.45,3545
04/04/17 14:05:50.50,3545
04/04/17 14:05:55.55,3534
04/04/17 14:06:00.00,3563
04/04/17 14:06:05.05,3569
04/04/17 14:06:10.10,3557
04/04/17 14:06:15.15,3575
04/04/17 14:06:20.20,3510
04/04/17 14:06:25.25,3528
04/04/17 14:06:30.30,3587
04/04/17 14:06:30.30,3587
04/04/17 14:06:35.35,3563
04/04/17 14:06:40.40,3598
04/04/17 14:06:45.45,3557
04/04/17 14:06:50.50,3575
04/04/17 14:06:55.55,3575
04/04/17 14:07:00.00,3592
04/04/17 14:07:05.05,3545
04/04/17 14:07:10.10,3581
04/04/17 14:07:15.15,3551
04/04/17 14:07:20.20,3557
04/04/17 14:07:25.25,3551
04/04/17 14:07:30.30,3581
04/04/17 14:07:35.35,3563
04/04/17 14:07:40.40,3551
04/04/17 14:07:45.45,3598
04/04/17 14:07:50.50,3557
04/04/17 14:07:55.55,3534
04/04/17 14:08:00.00,3528
04/04/17 14:08:05.05,3540
04/04/17 14:08:10.10,3534
04/04/17 14:08:15.15,3522
04/04/17 14:08:20.20,3534
04/04/17 14:08:25.25,3510
04/04/17 14:08:30.30,3534
04/04/17 14:08:35.35,3481
04/04/17 14:08:40.40,3493
04/04/17 14:08:45.45,3504
04/04/17 14:08:50.50,3469
04/04/17 14:08:55.55,3463
04/04/17 14:09:00.00,3463
04/04/17 14:09:05.05,3424
04/04/17 14:09:10.10,3424
04/04/17 14:09:15.15,3367
04/04/17 14:09:20.20,3333
04/04/17 14:09:25.25,3322
04/04/17 14:09:30.30,3316
04/04/17 14:09:35.35,3339
04/04/17 14:09:40.40,3345
04/04/17 14:09:45.45,3266
04/04/17 14:09:50.50,3277
04/04/17 14:09:55.55,3283
04/04/17 14:10:00.00,3305
04/04/17 14:10:05.05,3288
04/04/17 14:10:10.10,3294
04/04/17 14:10:15.15,3333
04/04/17 14:10:20.20,3379
04/04/17 14:10:25.25,3339
04/04/17 14:10:30.30,3339
04/04/17 14:10:35.35,3367
04/04/17 14:10:40.40,3424
04/04/17 14:10:45.45,3452
04/04/17 14:10:45.45,3452
04/04/17 14:10:50.50,3441
04/04/17 14:10:55.55,3452
04/04/17 14:11:00.00,3435
04/04/17 14:11:05.05,3469
04/04/17 14:11:10.10,3446
04/04/17 14:11:15.15,3452
04/04/17 14:11:20.20,3493
04/04/17 14:11:25.25,3528
04/04/17 14:11:30.30,3528
04/04/17 14:11:35.35,3522
04/04/17 14:11:40.40,3487
04/04/17 14:11:45.45,3498
04/04/17 14:11:50.50,3469
04/04/17 14:11:55.55,3475
04/04/17 14:12:00.00,3469
04/04/17 14:12:05.05,3534
04/04/17 14:12:10.10,3498
04/04/17 14:12:15.15,3551
04/04/17 14:12:20.20,3534
04/04/17 14:12:25.25,3487
04/04/17 14:12:30.30,3475
04/04/17 14:12:35.35,3441
04/04/17 14:12:40.40,3446
04/04/17 14:12:45.45,3435
04/04/17 14:12:50.50,3435
04/04/17 14:12:55.55,3429
04/04/17 14:13:00.00,3384
04/04/17 14:13:05.05,3395
04/04/17 14:13:10.10,3429
04/04/17 14:13:15.15,3401
04/04/17 14:13:20.20,3424
04/04/17 14:13:25.25,3452
04/04/17 14:13:30.30,3441
04/04/17 14:13:35.35,3463
04/04/17 14:13:40.40,3487
04/04/17 14:13:45.45,3469
04/04/17 14:13:50.50,3487
04/04/17 14:13:55.55,3463
04/04/17 14:14:00.00,3493
04/04/17 14:14:05.05,3469
04/04/17 14:14:10.10,3469
04/04/17 14:14:15.15,3418
04/04/17 14:14:20.20,3373
04/04/17 14:14:25.25,3311
04/04/17 14:14:30.30,3266
04/04/17 14:14:35.35,3212
04/04/17 14:14:40.40,3126
04/04/17 14:14:45.45,3016
04/04/17 14:14:50.50,2929
04/04/17 14:14:55.55,2914
04/04/17 14:15:00.00,2919
04/04/17 14:15:00.00,2919
04/04/17 14:15:05.05,2879
04/04/17 14:15:10.10,2829
04/04/17 14:15:15.15,2819
04/04/17 14:15:20.20,2844
04/04/17 14:15:25.25,2814
04/04/17 14:15:30.30,2884
04/04/17 14:15:35.35,2854
04/04/17 14:15:40.40,2829
04/04/17 14:15:45.45,2854
04/04/17 14:15:50.50,2844
04/04/17 14:15:55.55,2854
04/04/17 14:16:00.00,2809
04/04/17 14:16:05.05,2814
04/04/17 14:16:10.10,2859
04/04/17 14:16:15.15,2854
04/04/17 14:16:20.20,2854
04/04/17 14:16:25.25,2884
04/04/17 14:16:30.30,2864
04/04/17 14:16:35.35,2884
04/04/17 14:16:40.40,2859
04/04/17 14:16:45.45,2869
04/04/17 14:16:50.50,2854
04/04/17 14:16:55.55,2854
04/04/17 14:17:00.00,2824
04/04/17 14:17:05.05,2869
04/04/17 14:17:10.10,2894
04/04/17 14:17:15.15,2884
04/04/17 14:17:20.20,2894
04/04/17 14:17:25.25,2904
04/04/17 14:17:30.30,2929
04/04/17 14:17:35.35,2914
04/04/17 14:17:40.40,2909
04/04/17 14:17:45.45,2944
04/04/17 14:17:50.50,2939
04/04/17 14:17:55.55,2934
04/04/17 14:18:00.00,2889
04/04/17 14:18:05.05,2844
04/04/17 14:18:10.10,2924
04/04/17 14:18:15.15,2929
04/04/17 14:18:20.20,2903
04/04/17 14:18:25.25,2928
04/04/17 14:18:30.30,2938
04/04/17 14:18:35.35,2928
04/04/17 14:18:40.40,2913
04/04/17 14:18:45.45,2918
04/04/17 14:18:50.50,2938
04/04/17 14:18:55.55,2943
04/04/17 14:19:00.00,2943
04/04/17 14:19:05.05,2923
04/04/17 14:19:10.10,2933
04/04/17 14:19:15.15,2938
04/04/17 14:19:15.15,2938
04/04/17 14:19:20.20,2923
04/04/17 14:19:25.25,2948
04/04/17 14:19:30.30,2943
04/04/17 14:19:35.35,2918
04/04/17 14:19:40.40,2958
04/04/17 14:19:45.45,2958
04/04/17 14:19:50.50,2943
04/04/17 14:19:55.55,2938
04/04/17 14:20:00.00,2943
04/04/17 14:20:05.05,2958
04/04/17 14:20:10.10,2974
04/04/17 14:20:15.15,2913
04/04/17 14:20:20.20,2990
04/04/17 14:20:25.25,2984
04/04/17 14:20:30.30,2984
04/04/17 14:20:35.35,2990
04/04/17 14:20:40.40,2979
04/04/17 14:20:45.45,2964
04/04/17 14:20:50.50,2990
04/04/17 14:20:55.55,3000
04/04/17 14:21:00.00,3036
04/04/17 14:21:05.05,3036
04/04/17 14:21:10.10,3015
04/04/17 14:21:15.15,2990
04/04/17 14:21:20.20,2979
04/04/17 14:21:25.25,2995
04/04/17 14:21:30.30,3015
04/04/17 14:21:35.35,3005
04/04/17 14:21:40.40,3000
04/04/17 14:21:45.45,2979
04/04/17 14:21:50.50,3031
04/04/17 14:21:55.55,3026
04/04/17 14:22:00.00,3026
04/04/17 14:22:05.05,3031
04/04/17 14:22:10.10,2984
04/04/17 14:22:15.15,3026
04/04/17 14:22:20.20,3021
04/04/17 14:22:25.25,3052
04/04/17 14:22:30.30,3073
04/04/17 14:22:35.35,3067
04/04/17 14:22:40.40,3062
04/04/17 14:22:45.45,3041
04/04/17 14:22:50.50,3031
04/04/17 14:22:55.55,3021
04/04/17 14:23:00.00,3026
04/04/17 14:23:05.05,3052
04/04/17 14:23:10.10,3047
04/04/17 14:23:15.15,3026
04/04/17 14:23:20.20,3041
04/04/17 14:23:25.25,3052
04/04/17 14:23:30.30,3031
04/04/17 14:23:30.30,3031
04/04/17 14:23:35.35,3047
04/04/17 14:23:40.40,3047
04/04/17 14:23:45.45,3052
04/04/17 14:23:50.50,3047
04/04/17 14:23:55.55,3067
04/04/17 14:24:00.00,3078
04/04/17 14:24:05.05,3073
04/04/17 14:24:10.10,3067
04/04/17 14:24:15.15,3052
04/04/17 14:24:20.20,3031
04/04/17 14:24:25.25,3052
04/04/17 14:24:30.30,3067
04/04/17 14:24:35.35,3062
04/04/17 14:24:40.40,3078
04/04/17 14:24:45.45,3073
04/04/17 14:24:50.50,3098
04/04/17 14:24:55.55,3093
04/04/17 14:25:00.00,3078
04/04/17 14:25:05.05,3088
04/04/17 14:25:10.10,3104
04/04/17 14:25:15.15,3114
04/04/17 14:25:20.20,3088
04/04/17 14:25:25.25,3078
04/04/17 14:25:30.30,3093
04/04/17 14:25:35.35,3078
04/04/17 14:25:40.40,3052
04/04/17 14:25:45.45,3063
04/04/17 14:25:50.50,3037
04/04/17 14:25:55.55,3084
04/04/17 14:26:00.00,3126
04/04/17 14:26:05.05,3110
04/04/17 14:26:10.10,3126
04/04/17 14:26:15.15,3126
04/04/17 14:26:20.20,3115
04/04/17 14:26:25.25,3089
04/04/17 14:26:30.30,3084
04/04/17 14:26:35.35,3068
04/04/17 14:26:40.40,3068
04/04/17 14:26:45.45,3074
04/04/17 14:26:50.50,3089
04/04/17 14:26:55.55,3084
04/04/17 14:27:00.00,3068
04/04/17 14:27:05.05,3058
04/04/17 14:27:10.10,3053
04/04/17 14:27:15.15,3089
04/04/17 14:27:20.20,3063
04/04/17 14:27:25.25,3063
04/04/17 14:27:30.30,3105
04/04/17 14:27:35.35,3115
04/04/17 14:27:40.40,3105
04/04/17 14:27:45.45,3094
04/04/17 14:27:45.45,3094
04/04/17 14:27:50.50,3099
04/04/17 14:27:55.55,3094
04/04/17 14:28:00.00,3094
04/04/17 14:28:05.05,3105
04/04/17 14:28:10.10,3089
04/04/17 14:28:15.15,3079
04/04/17 14:28:20.20,3094
04/04/17 14:28:25.25,3089
04/04/17 14:28:30.30,3131
04/04/17 14:28:35.35,3084
04/04/17 14:28:40.40,3094
04/04/17 14:28:45.45,3089
04/04/17 14:28:50.50,3105
04/04/17 14:28:55.55,3105
04/04/17 14:29:00.00,3110
04/04/17 14:29:05.05,3137
04/04/17 14:29:10.10,3110
04/04/17 14:29:15.15,3110
04/04/17 14:29:20.20,3079
04/04/17 14:29:25.25,3110
04/04/17 14:29:30.30,3094
04/04/17 14:29:35.35,3084
04/04/17 14:29:40.40,3137
04/04/17 14:29:45.45,3153
04/04/17 14:29:50.50,3131
04/04/17 14:29:55.55,3105
04/04/17 14:30:00.00,3120
04/04/17 14:30:05.05,3115
04/04/17 14:30:10.10,3068
04/04/17 14:30:15.15,3084
04/04/17 14:30:20.20,3099
04/04/17 14:30:25.25,3110
04/04/17 14:30:30.30,3120
04/04/17 14:30:35.35,3153
04/04/17 14:30:40.40,3164
04/04/17 14:30:45.45,3164
04/04/17 14:30:50.50,3115
04/04/17 14:30:55.55,3110
04/04/17 14:31:00.00,3115
04/04/17 14:31:05.05,3131
04/04/17 14:31:10.10,3131
04/04/17 14:31:15.15,3147
04/04/17 14:31:20.20,3126
04/04/17 14:31:25.25,3084
04/04/17 14:31:30.30,3084
04/04/17 14:31:35.35,3131
04/04/17 14:31:40.40,3153
04/04/17 14:31:45.45,3147
04/04/17 14:31:50.50,3180
04/04/17 14:31:55.55,3191
04/04/17 14:32:00.00,3174
04/04/17 14:32:55.55,1811
04/04/17 14:33:00.00,1668
04/04/17 14:33:05.05,1489
04/04/17 14:33:10.10,1370
04/04/17 14:33:15.15,1236
04/04/17 14:33:20.20,1146
04/04/17 14:33:25.25,1026
04/04/17 14:33:30.30,947
04/04/17 14:33:35.35,886
04/04/17 14:33:40.40,818
04/04/17 14:33:45.45,753
04/04/17 14:33:50.50,695
04/04/17 14:33:55.55,654
04/04/17 14:34:00.00,624
04/04/17 14:34:05.05,584
04/04/17 14:34:10.10,552
04/04/17 14:34:15.15,528
04/04/17 14:34:20.20,497
04/04/17 14:34:25.25,491
04/04/17 14:34:30.30,460
04/04/17 14:34:35.35,446
04/04/17 14:34:40.40,433
04/04/17 14:34:45.45,421
04/04/17 14:34:50.50,394
04/04/17 14:34:55.55,407
04/04/17 14:35:00.00,401
04/04/17 14:35:05.05,384
04/04/17 14:35:10.10,362
04/04/17 14:35:15.15,368
04/04/17 14:35:20.20,355
04/04/17 14:35:25.25,352
04/04/17 14:35:30.30,346
04/04/17 14:35:35.35,342
04/04/17 14:35:40.40,342
04/04/17 14:35:45.45,330
04/04/17 14:35:50.50,319
04/04/17 14:35:55.55,313
04/04/17 14:36:00.00,305
04/04/17 14:36:05.05,296
04/04/17 14:36:10.10,291
04/04/17 14:36:15.15,284
04/04/17 14:37:25.25,273
04/04/17 14:37:30.30,252
04/04/17 14:37:35.35,256
04/04/17 14:37:40.40,261
04/04/17 14:37:45.45,263
04/04/17 14:37:50.50,247
04/04/17 14:37:55.55,250
04/04/17 14:38:00.00,250
04/04/17 14:38:05.05,250
04/04/17 14:38:10.10,254
04/04/17 14:38:15.15,247
04/04/17 14:38:20.20,239
04/04/17 14:38:25.25,235
04/04/17 14:38:30.30,232
04/04/17 14:38:35.35,235
04/04/17 14:38:40.40,225
04/04/17 14:38:45.45,232
04/04/17 14:38:50.50,227
04/04/17 14:38:55.55,228
04/04/17 14:39:00.00,232
04/04/17 14:39:05.05,227
04/04/17 14:39:06.06,228
