sSpecies,fTryptophan,fThreonine,fIsoleucine,fLeucine,fLysine,fMethionine,fCystine,fPhenylalanine,fTyrosine,fValine,fHistidine,
-,g,g,g,g,g,g,g,g,g,g,g,
Drybean,
Lettuce,0.009,0.059,0.084,0.079,0.084,0.016,0.016,0.055,0.032,0.070,0.022,
Peanut,0.250,0.883,0.907,1.672,0.926,0.317,0.331,1.377,1.049,1.082,0.652,
Rice,
Soybean,0.157,0.516,0.570,0.926,0.775,0.157,0.118,0.586,0.464,0.576,0.348,
Sweetpotato,0.031,0.083,0.055,0.092,0.066,0.029,0.022,0.089,0.034,0.086,0.031,
Tomato,
Wheat,
Whitepotato,0.017,0.055,0.054,0.080,0.087,0.026,0.020,0.066,0.039,0.084,0.028,